2019-08-30 14:18:37
PRECISION                     Top-5     Top-L/10  Top-L/5   Top-L/2   Top-L     Top-2L    
T0949.rr (precision)          100.00    100.00    100.00    100.00    93.80     66.67T0949-D1.pdb
T0950.rr (precision)          100.00    100.00    97.06     80.12     59.65     35.09T0950-D1.pdb
T0953s2.rr (precision)        75.00     80.00     66.67     45.45     31.82     25.00T0953s2-D1.pdb
T0957s2.rr (precision)        100.00    100.00    74.19     44.87     28.39     21.29T0957s2-D1.pdb
T0958.rr (precision)          100.00    100.00    86.67     76.92     61.04     36.36T0958-D1.pdb
T0960.rr (precision)          0.00      12.50     17.65     14.29     9.52      5.36T0960-D2.pdb
T0963.rr (precision)          0.00      12.50     12.50     12.20     9.76      6.71T0963-D2.pdb
T0968s1.rr (precision)        100.00    75.00     66.67     45.76     36.44     23.31T0968s1-D1.pdb
T0968s2.rr (precision)        40.00     41.67     47.83     29.31     21.74     18.26T0968s2-D1.pdb
T0969.rr (precision)          100.00    100.00    97.18     89.27     69.21     48.31T0969-D1.pdb
T0970.rr (precision)          100.00    100.00    76.47     65.12     47.06     34.12T0970-D1.pdb
T0975.rr (precision)          100.00    85.71     75.00     65.25     45.20     29.00T0975-D1.pdb
T0978.rr (precision)          100.00    97.56     89.16     70.53     50.61     33.17T0978-D1.pdb
T0980s1.rr (precision)        100.00    100.00    100.00    61.54     36.54     19.71T0980s1-D1.pdb
T0981.rr (precision)          100.00    95.00     80.49     52.94     38.42     29.80T0981-D3.pdb
T0986s1.rr (precision)        100.00    88.89     88.89     60.87     41.30     22.83T0986s1-D1.pdb
T0986s2.rr (precision)        100.00    93.75     80.65     75.64     55.48     38.71T0986s2-D1.pdb
T0987.rr (precision)          100.00    100.00    97.30     93.48     73.37     44.57T0987-D1.pdb
T0987.rr (precision)          100.00    95.00     87.18     78.57     55.61     36.48T0987-D2.pdb
T0989.rr (precision)          100.00    100.00    88.89     53.73     38.06     23.13T0989-D1.pdb
T0989.rr (precision)          20.00     45.45     45.45     26.79     16.96     11.16T0989-D2.pdb
T0990.rr (precision)          40.00     37.50     26.67     36.84     32.89     19.74T0990-D1.pdb
T0990.rr (precision)          100.00    90.48     65.12     36.45     23.47     13.38T0990-D3.pdb
T0992.rr (precision)          100.00    100.00    100.00    90.74     64.49     44.86T0992-D1.pdb
T0997.rr (precision)          100.00    100.00    94.59     89.25     70.81     47.57T0997-D1.pdb
T0998.rr (precision)          40.00     47.06     51.52     45.78     35.54     20.18T0998-D1.pdb
T1000.rr (precision)          100.00    100.00    98.65     93.48     84.51     61.68T1000-D2.pdb
T1001.rr (precision)          100.00    92.86     75.00     38.57     26.62     16.19T1001-D1.pdb
T1005.rr (precision)          100.00    93.94     93.85     82.82     61.35     39.57T1005-D1.pdb
T1008.rr (precision)          40.00     62.50     80.00     64.10     41.56     29.22T1008-D1.pdb
T1010.rr (precision)          80.00     95.24     85.71     67.62     49.52     34.76T1010-D1.pdb
T1015s1.rr (precision)        100.00    100.00    94.44     86.36     52.27     28.41T1015s1-D1.pdb
T1017s2.rr (precision)        100.00    84.62     68.00     38.10     21.60     14.80T1017s2-D1.pdb
T1019s1.rr (precision)        80.00     66.67     41.67     27.59     17.24     12.07T1019s1-D1.pdb
T1021s3.rr (precision)        100.00    94.12     93.94     89.16     74.70     49.40T1021s3-D1.pdb
T1021s3.rr (precision)        40.00     20.00     26.32     16.33     12.37     14.95T1021s3-D2.pdb
T1022s1.rr (precision)        100.00    100.00    100.00    87.18     63.46     41.99T1022s1-D1.pdb
AVERAGE                       82.57     81.30     74.90     60.35     44.66     29.67    
