PRECISION                     Top-5     Top-L/10  Top-L/5   Top-L/2   Top-L     Top-2L    
T0900.rr (precision)          100.00    100.00    100.00    84.31     66.67     55.88 T0900-D1.pdb
T0869.rr (precision)          100.00    100.00    90.48     67.31     46.15     31.25 T0869-D1.pdb
T0888.rr (precision)          0.00      8.33      8.33      16.39     10.74     7.44 T0888-D1.pdb
T0859.rr (precision)          0.00      9.09      4.35      5.26      3.54      1.77 T0859-D1.pdb
T0870.rr (precision)          80.00     83.33     80.00     61.29     45.53     30.89 T0870-D1.pdb
T0915.rr (precision)          100.00    93.33     67.74     37.66     27.92     20.13 T0915-D1.pdb
T0898.rr (precision)          40.00     54.55     42.86     39.62     30.19     20.75 T0898-D1.pdb
T0866.rr (precision)          100.00    100.00    90.48     92.31     85.58     61.54 T0866-D1.pdb
T0890.rr (precision)          100.00    63.64     52.38     39.62     25.47     17.45 T0890-D2.pdb
T0880.rr (precision)          100.00    68.75     51.61     31.65     21.66     18.79 T0880-D2.pdb
T0892.rr (precision)          100.00    100.00    90.91     67.27     50.00     34.09 T0892-D2.pdb
T0862.rr (precision)          0.00      11.11     10.53     19.15     18.28     15.59 T0862-D1.pdb
T0863.rr (precision)          80.00     58.33     42.25     25.28     16.85     10.11 T0863-D2.pdb
T0863.rr (precision)          40.00     63.16     46.15     31.96     20.21     15.28 T0863-D1.pdb
T0864.rr (precision)          100.00    100.00    100.00    90.24     71.14     45.12 T0864-D1.pdb
T0897.rr (precision)          0.00      8.33      20.00     17.74     16.94     14.52 T0897-D2.pdb
T0897.rr (precision)          0.00      0.00      3.57      2.90      2.90      3.26 T0897-D1.pdb
T0946.rr (precision)          100.00    100.00    93.75     65.00     48.75     30.00 T0946-D1.pdb
T0894.rr (precision)          100.00    100.00    88.89     51.11     26.97     16.29 T0894-D1.pdb
T0901.rr (precision)          100.00    100.00    100.00    68.57     52.86     35.00 T0901-D2.pdb
T0914.rr (precision)          20.00     12.50     18.75     12.35     13.58     11.42 T0914-D2.pdb
T0914.rr (precision)          80.00     50.00     25.00     17.72     12.66     8.54 T0914-D1.pdb
T0904.rr (precision)          80.00     64.00     58.00     34.92     27.09     19.32 T0904-D1.pdb
T0886.rr (precision)          100.00    100.00    78.57     88.57     82.61     63.77 T0886-D1.pdb
T0886.rr (precision)          100.00    100.00    100.00    95.31     78.74     56.69 T0886-D2.pdb
T0905.rr (precision)          100.00    100.00    100.00    95.04     75.62     57.64 T0905-D1.pdb
T0905.rr (precision)          100.00    100.00    100.00    66.67     54.55     39.39 T0905-D2.pdb
T0878.rr (precision)          100.00    94.12     91.30     80.23     64.83     44.91 T0878-D1.pdb
T0923.rr (precision)          100.00    79.31     61.40     51.05     34.27     21.85 T0923-D1.pdb
T0899.rr (precision)          100.00    100.00    94.23     75.38     65.25     44.79 T0899-D1.pdb
T0899.rr (precision)          100.00    100.00    100.00    86.36     62.50     42.05 T0899-D2.pdb
T0941.rr (precision)          40.00     29.41     20.59     11.11     8.21      7.77 T0941-D1.pdb
T0896.rr (precision)          100.00    100.00    93.75     51.85     32.30     18.63 T0896-D3.pdb
T0918.rr (precision)          80.00     83.33     83.33     83.05     62.71     40.68 T0918-D3.pdb
T0918.rr (precision)          100.00    100.00    96.00     87.10     79.67     61.38 T0918-D2.pdb
T0918.rr (precision)          100.00    81.82     68.18     70.37     60.19     43.06 T0918-D1.pdb
T0912.rr (precision)          100.00    100.00    95.24     76.92     51.46     33.98 T0912-D3.pdb
AVERAGE                       76.75     73.41     66.71     55.47     54.01     30.73    

